"sub" "activity" "mean" "stddev"
1 "WALKING" -0.463716542749936 0.497295074540271
2 "STANDING" -0.486713996139449 0.502811089306893
3 "WALKING" -0.513305700948802 0.503373423412521
4 "STANDING" -0.516905997620793 0.509131852685244
5 "WALKING" -0.486744619244046 0.504180551402664
6 "WALKING" -0.465296805542408 0.499756707252724
7 "WALKING" -0.489057862500484 0.502623938425635
8 "WALKING" -0.5425982704199 0.51573320188475
8 "WALKING_UPSTAIRS" -0.427376775099607 0.498681363355834
9 "STANDING" -0.502495097191743 0.500843675962414
10 "LAYING" -0.44156500855748 0.490109268902491
10 "STANDING" -0.575249732118115 0.524363038418872
11 "WALKING_UPSTAIRS" -0.524889013946856 0.510217280027573
12 "LAYING" -0.508086236045606 0.503778573784079
13 "LAYING" -0.495520215294449 0.507536684934289
14 "WALKING_UPSTAIRS" -0.470407319816446 0.506264788627301
15 "WALKING_UPSTAIRS" -0.517068292901229 0.508486059876069
16 "WALKING_UPSTAIRS" -0.545471854544871 0.515380709535846
17 "WALKING_DOWNSTAIRS" -0.522491665646238 0.513631687446813
17 "WALKING_UPSTAIRS" -0.646742653954829 0.542409531325942
18 "LAYING" -0.554871723221615 0.510829344636885
19 "WALKING_DOWNSTAIRS" -0.483419110756989 0.509647921726285
20 "LAYING" -0.488484740349164 0.501909977046085
21 "WALKING_DOWNSTAIRS" -0.531074045846152 0.512264571270128
22 "SITTING" -0.295767891118117 0.465636800385426
22 "WALKING_DOWNSTAIRS" -0.515613380859065 0.510491530961205
23 "SITTING" -0.475827255097812 0.507161328898879
24 "LAYING" -0.532915921247308 0.506897852697339
25 "SITTING" -0.546032397931626 0.511719756490632
26 "SITTING" -0.53156690682358 0.510550381436544
27 "SITTING" -0.536397143012394 0.512075457117072
28 "SITTING" -0.540608667799695 0.503964508049368
28 "STANDING" -0.514217755537254 0.50081485838232
29 "STANDING" -0.515399693128953 0.510407502152705
30 "STANDING" -0.515229704083787 0.500361287803291
